date,close,SECID
2015-05-29,,ABRD
2015-06-01,83.0,ABRD
2015-06-02,84.0,ABRD
2015-06-03,87.5,ABRD
2015-06-04,88.0,ABRD
2015-06-05,88.0,ABRD
2015-06-08,89.0,ABRD
2015-06-09,86.0,ABRD
2015-06-10,87.0,ABRD
2015-06-11,86.0,ABRD
2015-06-15,87.5,ABRD
2015-06-16,87.5,ABRD
2015-06-17,88.0,ABRD
2015-06-18,97.0,ABRD
2015-06-19,88.0,ABRD
2015-06-22,91.0,ABRD
2015-06-23,90.0,ABRD
2015-06-24,89.0,ABRD
2015-06-25,,ABRD
2015-06-26,91.5,ABRD
2015-06-29,93.0,ABRD
2015-06-30,94.0,ABRD
2015-07-01,93.0,ABRD
2015-07-02,93.5,ABRD
2015-07-03,,ABRD
2015-07-06,95.0,ABRD
2015-07-07,93.0,ABRD
2015-07-08,90.5,ABRD
2015-07-09,,ABRD
2015-07-10,,ABRD
2015-07-13,90.5,ABRD
2015-07-14,,ABRD
2015-07-15,,ABRD
2015-07-16,,ABRD
2015-07-17,92.0,ABRD
2015-07-20,89.5,ABRD
2015-07-21,,ABRD
2015-07-22,,ABRD
2015-07-23,90.0,ABRD
2015-07-24,89.5,ABRD
2015-07-27,,ABRD
2015-07-28,88.5,ABRD
2015-07-29,,ABRD
2015-07-30,91.5,ABRD
2015-07-31,92.0,ABRD
2015-08-03,92.0,ABRD
2015-08-04,92.0,ABRD
2015-08-05,,ABRD
2015-08-06,85.0,ABRD
2015-08-07,89.0,ABRD
2015-08-10,88.0,ABRD
2015-08-11,88.0,ABRD
2015-08-12,83.0,ABRD
2015-08-13,85.5,ABRD
2015-08-14,89.0,ABRD
2015-08-17,89.0,ABRD
2015-08-18,,ABRD
2015-08-19,87.0,ABRD
2015-08-20,89.5,ABRD
2015-08-21,,ABRD
2015-08-24,90.0,ABRD
2015-08-25,95.0,ABRD
2015-08-26,104.0,ABRD
2015-08-27,,ABRD
2015-08-28,,ABRD
2015-08-31,,ABRD
2015-09-01,118.0,ABRD
2015-09-02,100.0,ABRD
2015-09-03,,ABRD
2015-09-04,,ABRD
2015-09-07,,ABRD
2015-09-08,118.0,ABRD
2015-09-09,112.5,ABRD
2015-09-10,,ABRD
2015-09-11,,ABRD
2015-09-14,,ABRD
2015-09-15,,ABRD
2015-09-16,103.5,ABRD
2015-09-17,114.0,ABRD
2015-09-18,,ABRD
2015-09-21,102.5,ABRD
2015-09-22,104.0,ABRD
2015-09-23,103.5,ABRD
2015-09-24,105.0,ABRD
2015-09-25,102.0,ABRD
2015-09-28,104.0,ABRD
2015-09-29,103.0,ABRD
2015-09-30,,ABRD
2015-10-01,102.0,ABRD
2015-10-02,102.0,ABRD
2015-10-05,101.5,ABRD
2015-10-06,102.5,ABRD
2015-10-07,101.0,ABRD
2015-10-08,103.5,ABRD
2015-10-09,,ABRD
2015-10-12,100.0,ABRD
2015-10-13,,ABRD
2015-10-14,103.0,ABRD
2015-10-15,,ABRD
2015-10-16,,ABRD
2015-10-19,,ABRD
2015-10-20,101.0,ABRD
2015-10-21,119.0,ABRD
2015-10-22,104.0,ABRD
2015-10-23,102.5,ABRD
2015-10-26,104.5,ABRD
2015-10-27,104.0,ABRD
2015-10-28,,ABRD
2015-10-29,,ABRD
2015-10-30,103.5,ABRD
2015-11-02,,ABRD
2015-11-03,102.5,ABRD
2015-11-05,,ABRD
2015-11-06,,ABRD
2015-11-09,,ABRD
2015-11-10,,ABRD
2015-11-11,,ABRD
2015-11-12,,ABRD
2015-11-13,,ABRD
2015-11-16,101.0,ABRD
2015-11-17,,ABRD
2015-11-18,,ABRD
2015-11-19,,ABRD
2015-11-20,,ABRD
2015-11-23,99.0,ABRD
2015-11-24,,ABRD
2015-11-25,103.0,ABRD
2015-11-26,,ABRD
2015-11-27,,ABRD
2015-11-30,,ABRD
2015-12-01,,ABRD
2015-12-02,,ABRD
2015-12-03,,ABRD
2015-12-04,,ABRD
2015-12-07,95.5,ABRD
2015-12-08,99.0,ABRD
2015-12-09,,ABRD
2015-12-10,93.0,ABRD
2015-12-11,,ABRD
2015-12-14,,ABRD
2015-12-15,93.0,ABRD
2015-12-16,,ABRD
2015-12-17,,ABRD
2015-12-18,93.0,ABRD
2015-12-21,,ABRD
2015-12-22,,ABRD
2015-12-23,98.0,ABRD
2015-12-24,91.0,ABRD
2015-12-25,,ABRD
2015-12-28,93.5,ABRD
2015-12-29,95.5,ABRD
2015-12-30,99.5,ABRD
2016-01-04,90.5,ABRD
2016-01-05,,ABRD
2016-01-06,87.5,ABRD
2016-01-11,87.5,ABRD
2016-01-12,87.0,ABRD
2016-01-13,89.5,ABRD
2016-01-14,,ABRD
2016-01-15,85.0,ABRD
2016-01-18,90.0,ABRD
2016-01-19,91.0,ABRD
2016-01-20,101.0,ABRD
2016-01-21,96.0,ABRD
2016-01-22,95.0,ABRD
2016-01-25,,ABRD
2016-01-26,96.5,ABRD
2016-01-27,97.0,ABRD
2016-01-28,101.0,ABRD
2016-01-29,113.0,ABRD
2016-02-01,106.5,ABRD
2016-02-02,116.0,ABRD
2016-02-03,120.0,ABRD
2016-02-04,108.0,ABRD
2016-02-05,,ABRD
2016-02-08,103.0,ABRD
2016-02-09,100.5,ABRD
2016-02-10,,ABRD
2016-02-11,109.0,ABRD
2016-02-12,,ABRD
2016-02-15,,ABRD
2016-02-16,,ABRD
2016-02-17,,ABRD
2016-02-18,,ABRD
2016-02-19,,ABRD
2016-02-20,118.0,ABRD
2016-02-22,,ABRD
2016-02-24,109.0,ABRD
2016-02-25,108.0,ABRD
2016-02-26,103.0,ABRD
2016-02-29,102.0,ABRD
2016-03-01,101.0,ABRD
2016-03-02,109.5,ABRD
2016-03-03,105.5,ABRD
2016-03-04,105.0,ABRD
2016-03-07,,ABRD
2016-03-09,,ABRD
2016-03-10,105.5,ABRD
2016-03-11,112.0,ABRD
2016-03-14,110.0,ABRD
2016-03-15,,ABRD
2016-03-16,110.0,ABRD
2016-03-17,102.5,ABRD
2016-03-18,103.0,ABRD
2016-03-21,91.5,ABRD
2016-03-22,92.5,ABRD
2016-03-23,93.0,ABRD
2016-03-24,90.5,ABRD
2016-03-25,85.0,ABRD
2016-03-28,89.5,ABRD
2016-03-29,84.5,ABRD
2016-03-30,82.0,ABRD
2016-03-31,84.0,ABRD
2016-04-01,85.0,ABRD
2016-04-04,86.0,ABRD
2016-04-05,88.5,ABRD
2016-04-06,86.0,ABRD
2016-04-07,89.0,ABRD
2016-04-08,88.0,ABRD
2016-04-11,86.5,ABRD
2016-04-12,86.5,ABRD
2016-04-13,85.5,ABRD
2016-04-14,88.0,ABRD
2016-04-15,86.0,ABRD
2016-04-18,85.5,ABRD
2016-04-19,86.0,ABRD
2016-04-20,87.0,ABRD
2016-04-21,86.5,ABRD
2016-04-22,86.5,ABRD
2016-04-25,86.0,ABRD
2016-04-26,86.0,ABRD
2016-04-27,83.0,ABRD
2016-04-28,81.0,ABRD
2016-04-29,81.0,ABRD
2016-05-04,82.5,ABRD
2016-05-05,83.0,ABRD
2016-05-06,82.0,ABRD
2016-05-10,83.0,ABRD
2016-05-11,83.5,ABRD
2016-05-12,84.0,ABRD
2016-05-13,83.5,ABRD
2016-05-16,83.5,ABRD
2016-05-17,85.0,ABRD
2016-05-18,85.0,ABRD
2016-05-19,84.0,ABRD
2016-05-20,83.5,ABRD
2016-05-23,82.0,ABRD
2016-05-24,82.5,ABRD
2016-05-25,83.0,ABRD
2016-05-26,84.0,ABRD
2016-05-27,82.5,ABRD
2016-05-30,82.0,ABRD
2016-05-31,82.5,ABRD
2016-06-01,82.0,ABRD
2016-06-02,81.0,ABRD
2016-06-03,82.5,ABRD
2016-06-06,82.0,ABRD
2016-06-07,81.5,ABRD
2016-06-08,82.5,ABRD
2016-06-09,81.5,ABRD
2016-06-10,81.0,ABRD
2016-06-14,,ABRD
2016-06-15,81.0,ABRD
2016-06-16,84.0,ABRD
2016-06-17,81.5,ABRD
2016-06-20,82.0,ABRD
2016-06-21,81.5,ABRD
2016-06-22,82.0,ABRD
2016-06-23,82.5,ABRD
2016-06-24,81.5,ABRD
2016-06-27,81.5,ABRD
2016-06-28,81.5,ABRD
2016-06-29,81.5,ABRD
2016-06-30,81.5,ABRD
2016-07-01,79.5,ABRD
2016-07-04,80.0,ABRD
2016-07-05,80.0,ABRD
2016-07-06,80.0,ABRD
2016-07-07,82.0,ABRD
2016-07-08,,ABRD
2016-07-11,81.5,ABRD
2016-07-12,82.0,ABRD
2016-07-13,81.5,ABRD
2016-07-14,80.0,ABRD
2016-07-15,80.5,ABRD
2016-07-18,80.0,ABRD
2016-07-19,80.5,ABRD
2016-07-20,81.5,ABRD
2016-07-21,,ABRD
2016-07-22,81.5,ABRD
2016-07-25,82.0,ABRD
2016-07-26,82.0,ABRD
2016-07-27,81.5,ABRD
2016-07-28,81.5,ABRD
2016-07-29,83.0,ABRD
2016-08-01,81.0,ABRD
2016-08-02,81.0,ABRD
2016-08-03,81.0,ABRD
2016-08-04,81.0,ABRD
2016-08-05,,ABRD
2016-08-08,,ABRD
2016-08-09,82.0,ABRD
2016-08-10,80.0,ABRD
2016-08-11,80.5,ABRD
2016-08-12,81.5,ABRD
2016-08-15,82.0,ABRD
2016-08-16,82.5,ABRD
2016-08-17,82.0,ABRD
2016-08-18,81.0,ABRD
2016-08-19,81.0,ABRD
2016-08-22,80.5,ABRD
2016-08-23,,ABRD
2016-08-24,83.5,ABRD
2016-08-25,88.0,ABRD
2016-08-26,90.5,ABRD
2016-08-29,92.0,ABRD
2016-08-30,90.0,ABRD
2016-08-31,94.5,ABRD
2016-09-01,94.0,ABRD
2016-09-02,93.5,ABRD
2016-09-05,92.0,ABRD
2016-09-06,92.5,ABRD
2016-09-07,92.0,ABRD
2016-09-08,90.0,ABRD
2016-09-09,92.0,ABRD
2016-09-12,92.0,ABRD
2016-09-13,92.5,ABRD
2016-09-14,93.0,ABRD
2016-09-15,90.5,ABRD
2016-09-16,90.5,ABRD
2016-09-19,92.0,ABRD
2016-09-20,91.5,ABRD
2016-09-21,91.5,ABRD
2016-09-22,90.0,ABRD
2016-09-23,90.0,ABRD
2016-09-26,92.5,ABRD
2016-09-27,89.5,ABRD
2016-09-28,88.5,ABRD
2016-09-29,89.0,ABRD
2016-09-30,90.5,ABRD
2016-10-03,90.0,ABRD
2016-10-04,88.5,ABRD
2016-10-05,88.5,ABRD
2016-10-06,89.0,ABRD
2016-10-07,90.5,ABRD
2016-10-10,89.0,ABRD
2016-10-11,86.5,ABRD
2016-10-12,89.0,ABRD
2016-10-13,86.0,ABRD
2016-10-14,85.5,ABRD
2016-10-17,85.5,ABRD
2016-10-18,84.5,ABRD
2016-10-19,86.0,ABRD
2016-10-20,87.5,ABRD
2016-10-21,86.0,ABRD
2016-10-24,86.0,ABRD
2016-10-25,85.0,ABRD
2016-10-26,85.5,ABRD
2016-10-27,86.5,ABRD
2016-10-28,,ABRD
2016-10-31,86.5,ABRD
2016-11-01,86.5,ABRD
2016-11-02,85.5,ABRD
2016-11-03,86.0,ABRD
2016-11-07,86.5,ABRD
2016-11-08,86.0,ABRD
2016-11-09,91.5,ABRD
2016-11-10,88.5,ABRD
2016-11-11,88.0,ABRD
2016-11-14,87.5,ABRD
2016-11-15,89.0,ABRD
2016-11-16,88.0,ABRD
2016-11-17,87.5,ABRD
2016-11-18,88.0,ABRD
2016-11-21,87.5,ABRD
2016-11-22,86.5,ABRD
2016-11-23,88.0,ABRD
2016-11-24,,ABRD
2016-11-25,87.0,ABRD
2016-11-28,90.5,ABRD
2016-11-29,,ABRD
2016-11-30,90.5,ABRD
2016-12-01,,ABRD
2016-12-02,91.0,ABRD
2016-12-05,,ABRD
2016-12-06,92.0,ABRD
2016-12-07,90.0,ABRD
